Country,Region,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13
Colombia,Americas,59.20,34.30,33.50,74.30,75.00,79.20,71.40,78.50,75.60,76.00,80.00,70.00,67.30,714.00,1.80,3.20,14485.00,8.90,4.30,14518.00,49.40,7.00,33.00,33.00,19.90,28.90
Comoros,Sub-Saharan Africa,36.50,29.60,24.40,63.90,73.40,91.70,57.20,60.30,82.80,70.00,45.00,30.00,55.40,1.30,2.50,2.20,1588.00,4.30,1.00,8.60,28.40,5.00,30.00,50.00,14.50,29.80
"Congo, Democratic Republic of the Congo",Sub-Saharan Africa,25.30,30.70,26.20,73.80,93.90,96.90,53.20,41.90,49.10,62.60,30.00,20.00,50.30,68.50,3.40,6.10,790.00,3.70,41.50,1340.20,15.70,11.20,30.00,40.00,10.80,14.20
"Congo, Republic of",Sub-Saharan Africa,33.20,29.60,25.30,59.50,40.60,0.00,38.20,35.80,82.60,56.80,45.00,30.00,39.70,28.90,-4.60,1.10,6642.00,11.00,0.50,1158.80,119.10,11.60,45.00,34.00,29.50,44.50
Costa Rica,Americas,58.30,54.00,54.50,79.20,88.40,42.50,67.20,55.20,83.20,81.40,70.00,50.00,65.30,83.90,3.20,3.40,16877.00,8.10,1.60,3007.10,49.10,1.80,25.00,30.00,23.60,19.60
Côte d'Ivoire,Sub-Saharan Africa,40.90,47.80,38.10,77.50,83.90,74.30,61.00,52.50,74.20,73.60,75.00,50.00,62.40,96.90,7.80,8.60,3883.00,2.60,0.80,674.70,46.40,8.20,36.00,25.00,18.20,23.10
Croatia,Europe,66.00,42.90,38.60,66.40,33.40,85.40,60.70,44.00,78.50,86.00,75.00,60.00,61.40,101.30,2.80,1.50,24424.00,11.20,1.10,2104.20,78.40,2.00,40.00,18.00,37.90,47.10
Cyprus,Europe,73.10,48.10,43.70,74.90,55.20,80.30,76.90,59.50,84.00,86.00,75.00,60.00,68.10,31.60,3.90,0.30,37023.00,11.00,0.70,6343.30,99.30,2.00,35.00,12.50,33.60,38.70
Czech Republic,Europe,74.80,47.60,52.10,82.60,52.10,97.60,72.40,78.10,81.50,86.00,80.00,80.00,73.70,375.70,4.30,2.90,35512.00,2.90,2.40,7412.20,34.70,2.00,15.00,19.00,34.00,40.00
Denmark,Europe,86.20,77.80,85.80,42.00,14.40,96.70,90.70,86.40,84.10,86.00,90.00,80.00,76.70,286.80,2.10,1.60,49883.00,5.70,1.10,-3114.70,36.40,2.00,56.00,23.50,45.90,53.40
Djibouti,Sub-Saharan Africa,29.70,18.10,28.10,76.20,27.30,18.10,54.70,60.40,72.70,50.40,80.00,50.00,47.10,3.60,6.70,6.10,3559.00,5.80,0.70,165.00,30.60,17.30,30.00,25.00,29.20,49.20
Dominican Republic,Americas,50.60,18.10,23.20,84.60,90.30,89.90,51.90,57.60,79.70,75.80,70.00,40.00,61.00,172.40,4.60,6.10,16944.00,5.50,3.30,3570.00,37.70,4.60,25.00,27.00,13.60,17.90
Ecuador,Americas,35.90,20.20,25.30,77.00,55.50,32.10,54.10,48.20,73.50,66.40,35.00,40.00,46.90,192.60,2.70,2.00,11482.00,3.80,0.40,606.40,45.00,6.80,35.00,25.00,21.20,38.50
Egypt,Middle East and North Africa,37.00,48.30,29.20,85.20,68.10,0.00,65.90,51.60,62.30,71.80,60.00,50.00,52.50,1201.20,4.20,3.80,12671.00,12.10,23.50,7391.70,103.30,6.60,25.00,23.00,18.00,32.60
El Salvador,Americas,37.60,29.10,23.40,78.10,86.30,81.90,57.20,53.10,79.00,81.40,75.00,60.00,61.80,57.00,2.40,2.10,8948.00,4.50,1.00,791.90,59.30,1.80,30.00,30.00,19.70,21.40
Equatorial Guinea,Sub-Saharan Africa,29.70,18.10,15.80,71.30,67.60,16.40,37.60,32.70,83.70,48.80,40.00,30.00,41.00,30.40,-4.40,-5.60,36017.00,6.90,0.70,304.10,42.70,15.60,35.00,35.00,20.40,32.80
Eritrea,Sub-Saharan Africa,35.50,18.10,19.70,81.40,73.90,0.00,17.70,70.00,61.00,69.20,0.00,20.00,38.90,9.40,5.00,3.40,1581.00,6.40,9.00,55.50,131.20,5.40,30.00,30.00,8.00,29.50
Estonia,Europe,81.50,76.00,73.10,79.90,51.10,99.80,75.30,57.20,79.60,86.00,90.00,70.00,76.60,41.60,4.90,2.70,31750.00,5.80,3.70,784.40,8.80,2.00,20.00,20.00,34.70,40.40
Eswatini,Sub-Saharan Africa,41.70,42.90,35.00,74.80,65.60,18.30,59.20,67.50,73.70,87.60,50.00,40.00,54.70,11.30,0.20,2.00,9884.00,26.40,6.30,-136.80,29.20,1.20,33.00,28.00,25.50,33.90
Ethiopia,Sub-Saharan Africa,32.60,40.90,35.10,77.20,90.40,83.30,48.60,58.00,60.80,60.80,35.00,20.00,53.60,200.20,10.90,9.90,2161.00,5.20,9.90,3586.40,56.20,12.10,35.00,30.00,12.40,17.90
